epoca,id,name,duration_ms,artists,explicit,danceability,energy,loudness,date
70s,2grjqo0Frpf2okIBiifQKs,September,215093,"Earth, Wind & Fire",FALSE,0.697,0.832,-7.264,1978-11-23
70s,0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,230400,ABBA,FALSE,0.543,0.87,-6.514,1976
70s,3mRM4NM8iO7UBqrSigCQFH,Staying Alive,285373,Bee Gees,FALSE,0.703,0.826,-7.179,1979-01-01
70s,3z8h0TU7ReDPLIbEnYhWZb,Bohemian Rhapsody,354947,Queen,FALSE,0.39,0.397,-9.963,1975-11-21
70s,7zMUCLm1TN9o9JlLISztxO,Burning Love,170293,Elvis Presley,FALSE,0.66,0.748,-11.206,1973-07-16
70s,0B9x2BRHqj3Qer7biM3pU3,You're The One That I Want,169840,Grease,FALSE,0.758,0.612,-11.403,1978-04-04
70s,7rIovIsXE6kMn629b7kDig,I Will Survive,296106,Gloria Gaynor,FALSE,0.77,0.775,-9.571,1978-11-27
70s,2TxCwUlqaOH3TIyJqGgR91,Mamma Mia,213266,ABBA,FALSE,0.749,0.748,-7.011,1975
70s,7iN1s7xHE4ifF5povM6A48,Let It Be,243026,The Beatles,FALSE,0.443,0.403,-8.339,1970-05-08
70s,5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now,209413,Queen,FALSE,0.559,0.868,-5.276,1978-11-10
80s,2WfaOiMkCvy7F5fcp2zZ8L,Take On Me,225280,a-ha,FALSE,0.573,0.902,-7.638,1985-06-01
80s,2vz1CsL5WBsbpBcwgboTAw,Footloose,226826,Kenny Loggins,FALSE,0.583,0.905,-6.132,1984
80s,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',250986,Journey,FALSE,0.5,0.748,-9.072,1981
80s,3cbV252akVZInSvJk7jAYX,What A Feeling,237053,Irene Cara,FALSE,0.572,0.654,-7.027,1983-11-02
80s,20efeySIfZoiSaISGLBbNs,Thriller,312413,Michael Jackson,FALSE,0.777,0.818,-5.64,1983
80s,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams,216933,Eurythmics,FALSE,0.692,0.711,-7.498,1983-01-04
80s,7snQQk1zcKl8gZ92AnueZW,Sweet Child of Mine,356066,Guns N' Roses,TRUE,0.446,0.952,-5.321,1987-07-21
80s,1OOtq8tRnDM8kG2gqUPjAj,Beat It,258040,Michael Jackson,FALSE,0.776,0.867,-3.704,1983
80s,0cGG2EouYCEEC3xfa0tDFV,Tainted Love,153800,Soft Cell,FALSE,0.5,0.501,-8.284,1981
80s,1z3ugFmUKoCzGsI6jdY4Ci,Like a Prayer,342680,Madonna,FALSE,0.624,0.842,-5.285,1989
90s,2lpIh6Gr6HYjg1CFBaucS5,De Música Ligera,212746,Soda Stereo,FALSE,0.537,0.748,-6.392,1990-10-09
90s,31AOj9sFz2gM0O3hMARRBx,Losing My Religion,268426,R.E.M.,FALSE,0.666,0.855,-5.051,1991-03-12
90s,4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,301920,Nirvana,FALSE,0.502,0.912,-4.556,1991-09-26
90s,4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,271093,Whitney Houston,FALSE,0.332,0.214,-12.518,1992-11-17
90s,7EZC6E7UjZe63f1jRmkWxt,Zombie,306440,The Cranberries,FALSE,0.309,0.649,-8.994,1994-10-03
90s,6qspW4YKycviDFjHBOaqUY,Waterfalls,279506,TLC,FALSE,0.769,0.505,-7.345,1994-11-15
90s,5qqabIl2vWzo9ApSC317sa,Wonderwall,258773,Oasis,FALSE,0.378,0.896,-4.066,1995-10-02
90s,1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,173026,Spice Girls,FALSE,0.768,0.864,-6.145,1996-01-01
90s,3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,211066,Britney Spears,FALSE,0.759,0.699,-5.745,1999-01-12
90s,47BBI51FKFwOMlIiX6m8ya,I Want It That Way,213306,Backstreet Boys,FALSE,0.689,0.694,-5.83,1999-05-18
2000s,6naxalmIoLFWR0siv8dnQQ,Oops!... I Did It Again,211160,Britney Spears,FALSE,0.751,0.834,-5.444,2000-05-16
2000s,0DiWol3AO6WpXZgp0goxAV,One More Time,320357,Daft Punk,FALSE,0.613,0.697,-8.618,2001-03-12
2000s,2nLtzopw4rPReszdYBJU6h,Numb,185586,Linkin Park,FALSE,0.496,0.863,-4.153,2003-03-24
2000s,5rb9QrpfcKFHM1EUbSIurX,Yeah!,250373,Usher,FALSE,0.894,0.791,-4.699,2004-03-23
2000s,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,295533,Coldplay,FALSE,0.209,0.417,-8.74,2005-06-07
2000s,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie,218093,Shakira,FALSE,0.778,0.824,-5.892,2005-11-28
2000s,1QV6tiMFM6fSOKOGLMHYYg,Poker Face,237200,Lady Gaga,FALSE,0.851,0.806,-4.62,2008-01-01
2000s,49FYlytm3dAAraYgpoJZux,Umbrella,275986,Rihanna,FALSE,0.583,0.829,-4.603,2008-06-02
2000s,5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),193213,Beyoncé,FALSE,0.426,0.584,-5.293,2008-11-17
2000s,4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,289133,Black Eyed Peas,FALSE,0.743,0.766,-6.375,2009-01-01
2010s,0F7FA14euOIX8KcbEturGH,Old Town Road,113000,Lil Nas X,FALSE,0.907,0.53,-6.112,2019-06-21
2010s,1rfofaqEpACxVEHIZBJe6W,Havana,217307,Camila Cabello,FALSE,0.765,0.523,-4.333,2018-01-12
2010s,2Fxmhks0bxGSBdJ92vM42m,Bad Guy,194088,Billie Eilish,FALSE,0.701,0.425,-10.965,2019-03-29
2010s,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,269667,Mark Ronson,TRUE,0.856,0.609,-7.223,2015-01-12
2010s,1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,228093,Adele,TRUE,0.73,0.769,-5.114,2011-01-24
2010s,2JzZzZUQj3Qff7wapcbKjc,See You Again,229526,Wiz Khalifa,FALSE,0.689,0.481,-7.503,2015-03-17
2010s,1dNIEtp7AY3oDAKCGg2XkH,Something Just Like This,247627,The Chainsmokers,FALSE,0.607,0.649,-6.695,2017-02-22
2010s,72TFWvU3wUYdUuxejTTIzt,Work,219320,Rihanna,TRUE,0.725,0.534,-6.238,2016-01-28
2010s,6habFhsOp2NvshLv26DqMb,Despacito,229360,Luis Fonsi,FALSE,0.655,0.797,-4.787,2019-02-01
2010s,7qiZfU4dY1lWllzX7mPBI3,Shape of You,233713,Ed Sheeran,FALSE,0.825,0.652,-3.183,2017-03-03
